"","ZIP3","avg_2000","avg_2001","avg_2002","avg_2003","avg_2004","avg_2005","avg_2006","avg_2007","avg_2008","avg_2009","avg_2010","avg_2011","avg_2012","avg_2013","avg_2014","avg_2015","avg_2016","avg"
"428","731",40.5677049951468,42.4725317160296,40.025284937307,41.5804143729002,39.0025021975126,41.6584519061071,44.5162203353423,39.0330861415505,41.044019938852,41.098201127001,41.1075024926748,46.4608041058898,44.460651639604,42.122070724318,41.4805278036259,41.4591259663688,41.1373011752737,41.7192000926767
"429","623",36.7411675862596,38.4697274257794,38.4181295253576,38.5350114936498,36.5997744066745,40.1445218437494,38.6891324129096,39.494392203183,36.799178292382,37.0510203744328,39.1653930466971,39.9495838105788,39.7817739160397,38.5715709401552,37.4138477835504,38.2253325698458,36.6260546372464,38.2750360157936
"430","624",37.9538545782654,39.1295626900817,39.417902699128,37.9268058072443,36.3104874045823,38.6527554688419,36.5821741486178,40.1078801286011,37.0163260686853,36.6708945099251,39.4969520974906,39.3314577447372,40.8681657771264,38.4480327100566,37.7372878940643,38.7193404823073,37.8981239773733,38.3687061286546
"431","625",37.5529895862877,38.3044086047976,38.7550629794828,38.2724208753949,36.1917124487487,39.8368320382361,37.5872910992272,38.8979867512387,36.3610897332577,36.3552710657017,39.8100941858389,39.9050799301781,40.6018674805914,38.2436066899582,37.4998694203648,38.7056188671686,38.0359098923179,38.2892418616936
"432","626",38.1597104874247,39.0680534176529,38.8351980788483,38.8527019986477,36.8612136856156,40.1824341754529,37.5575148067265,38.4837681315713,36.2126118447827,36.3241566266466,39.6338643349452,40.0093315047907,40.7150098090471,38.9140094787282,37.3982543543858,38.4221496007409,38.2232681330111,38.4619559099422
"433","506",36.7064283812592,37.0830181365395,37.1472061298011,38.1791182390966,35.5683821803254,38.3491396354369,36.7487000606308,38.0318686756387,37.499082861562,36.2359726725118,38.3525069471778,38.0693723950186,39.4397905590719,37.6882495640043,37.0537694682023,37.7315293557454,35.7975581919569,37.3930407914105
"434","997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"435","507",36.5142172781685,36.8799064879941,36.9379286752619,38.0943699415287,35.3661626704154,38.1647684495268,36.497578162097,37.7999237960623,37.3857145729624,36.050637222562,38.2000805320138,37.9036355838773,39.3130295313856,37.462139671163,36.8956177516972,37.5505407705579,35.4831798793629,37.2058488809786
"436","998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"437","508",37.0726328187117,35.9441774660026,37.5776735740808,36.7165873588194,34.7305751702973,36.2816093709375,37.4103101484048,38.3077546033475,36.8500203697674,36.7026955782186,38.5784303274813,38.2271626041385,40.4789718275648,38.0656912736818,37.2758550140006,37.7249661403589,36.462992328305,37.3181238808305
"438","999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"439","610",37.263393393053,38.3229670077369,38.655911311886,38.7885371149269,35.3906416832819,39.1589024059212,35.9213068188169,38.5685070398245,37.4340021601952,36.2110164276934,38.8582965249792,37.9658193004701,39.6471127643023,37.9501848751199,38.196067256101,38.9031132297101,37.2016700290469,37.9080852554744
"440","611",35.341997467976,36.1272070306473,37.0504783366908,36.8594567749254,33.8914225634008,37.1214221187617,33.6214034347963,36.4829565776769,35.2428321403509,35.541553108729,37.5251009049654,37.0872801637945,38.1019060184985,36.4720952424122,37.7725473269053,38.7467339608078,36.9590277396818,36.4673777006483
"441","502",35.7090577694689,34.1343722535355,35.3147192685328,34.5929421409564,33.4739090838688,37.1650135702592,36.9513470383791,37.4660943607185,36.1207433834799,35.9756477392283,37.4292201450622,37.6259862903739,39.6008660834395,38.0966204173071,36.8112968355306,37.4235410848076,35.867575454925,36.4564089952867
"442","982",31.1678261755798,31.9174398981906,31.2166691823794,33.2628694993294,30.1150260759282,30.1120694337605,31.5836099021533,30.4326776144869,30.3878291853402,31.6876869447318,29.1077280510009,28.6856986161983,32.5404761942659,29.2294622303424,31.6654520670343,33.5451259258035,33.8893452985262,31.2086466055913
"443","983",31.9860387103452,33.1780307631011,31.2253902538459,33.9219639235582,31.7406560820653,32.3823261202249,34.783243546743,33.6557443664683,33.6092668737897,33.7514867377834,32.6549385322957,33.0655981005562,34.0401479324417,32.5891850162291,35.7519360224976,38.318474084513,36.7388068523879,33.7290137599321
"444","503",32.66950608041,33.4005833608136,32.8566242155668,30.7601313221488,33.1487946020537,36.7754135858958,35.7687663471654,35.8754217048537,34.3415849000492,34.1862566267843,35.3419161900273,36.2947477972738,38.5593975682555,37.4244725236716,35.6981944143158,37.2005405505295,35.8002032376164,35.0648561780842
"445","984",30.0444490269237,30.8640898992442,31.1966448835911,32.9852088912235,30.3266811392664,29.8286335117683,32.8970095830325,29.3683737544918,29.3273601963907,30.3281991264976,28.9865659068172,29.6929308862808,31.0744459441084,28.6454628726809,32.4418936586312,34.1253801620709,34.0644659579887,30.9528114941769
"446","504",37.2904100351499,37.3330832930585,37.4864736052448,37.9011433394079,35.500057913923,38.1712657038359,37.0419746384462,37.6619876082955,36.8764245851868,36.6023012914412,38.5556900262328,38.1869116930402,39.4350296168978,38.1770897899009,37.1285070933244,37.8352046661348,36.3807679852813,37.503783699106
"447","985",30.5706208787301,31.5626923216271,30.9511491059273,32.9336603052532,30.5379621529458,30.428173321536,33.6503401122013,31.2273016751521,31.1821904305687,31.8512744617958,30.6732172152276,30.9916878355191,32.2545527213552,30.3932774811028,33.6833382116522,35.8184464897618,35.1289050704282,31.9905170465167
"448","505",37.8168351465022,36.6027149410959,37.1096491098936,36.9168788464396,35.0640169376431,37.308073337222,36.6154480362323,36.5384292574825,35.4855477130377,36.9425242914979,38.7208845444594,38.3568863936344,39.7261715715734,38.6012252007748,36.9994418053117,37.6155463825762,36.5273219400245,37.2322114973765
"449","877",47.0955900139899,46.7035752706439,47.23122880553,48.0771261075848,46.2452403221701,46.2493098842505,46.9410075505769,46.7771992331805,46.4206727962137,45.8632078935736,46.7163523645453,48.0166507464726,48.3479832823649,47.4089775563402,46.1845637842436,46.768763209499,47.4410052771557,46.9699090646079
"450","878",47.9767622284161,47.1997938008487,47.8170950215713,48.8266252916798,46.9843348666032,46.6656911585664,47.1443796217204,46.7440457527787,46.6846458843008,46.0437600944988,46.6946028434514,47.8712912302242,48.0922502872081,47.1994769197262,46.3359188889351,46.9177766131827,47.6735155799223,47.227762710802
"451","879",47.3405922595529,46.158216467284,46.6057721795725,47.1969350638172,45.3798079044791,45.6353881332653,46.1339725984447,45.2777477229941,44.9734854085124,44.3896215314765,45.6932504811295,46.6084412689495,47.1161782467734,45.9653937071932,45.338828664778,46.3759697963221,47.5132894253177,46.1001700505801
"452","980",33.2736797999338,33.8992417029637,34.1174497068826,35.9830911613191,33.356740037759,32.8402147598823,34.7154147505187,31.3473508224542,31.232221056018,32.2724885070665,30.2751194296064,31.2667413120406,32.7472237771613,30.8184888768462,33.938282787036,36.1124967142442,35.1195583435457,33.1362237379575
"453","981",27.7710478341557,28.3126405431864,28.0081570730239,29.3608230709034,27.7851655106854,28.156198256956,30.5571986283674,25.9569317275294,25.7992756596888,25.7117245474453,25.2138599676713,26.0864995437392,27.757520058634,25.069990909006,28.3014159696859,29.8291121449505,31.3253012583232,27.7060507472913
"454","863",51.1397086585454,49.5099095693086,49.7443686577352,48.5841833533466,48.3006769445379,47.3178988031851,48.2199836067152,47.8554813431556,47.929180238115,46.974032865613,46.6555118969428,48.0057507419749,48.3313808689605,47.9466995209613,47.9112181426222,47.3481187413149,47.5797291906029,48.1972843025669
"455","864",48.0854644256629,47.7570449542585,48.4202753552888,47.8670612457585,47.7866241699841,46.6989994243218,47.9548080390382,47.543764849221,47.6525848432701,47.1946954225673,47.0787632081821,47.5987826967355,48.0375703673115,47.7440480206135,47.4919134625123,47.2356150560593,47.6780162865969,47.6368254016107
"456","860",49.3383327382202,48.4592699693588,50.2922855481042,49.9732131731421,48.7021773822736,48.4612030924931,49.3655982936571,48.9315323433219,49.0207656109672,47.7161700170325,47.8880132334057,48.7057755063182,48.8002576000114,48.3436587977861,47.5697083956953,47.3602312749778,47.4070845562383,48.6079575019414
"457","737",42.7464495381114,44.1664569265514,41.3658004255297,43.0736850791653,40.0197691786158,42.6533946256079,44.9190497223249,40.1701775545209,41.6937280533049,41.4581443353573,41.6623117405262,46.4845319030232,44.6709057460796,42.2903419647318,41.5195970755911,41.634910480236,41.4687903129153,42.4704732154231
"458","738",43.1426129182401,43.672806668073,41.5147557214098,44.0072974921394,41.2411400981675,43.1099524990266,45.0305007897584,40.9486516305576,42.5283411987297,42.1666734034249,42.5249162025089,46.5704037263757,44.8826248065829,43.103126264495,42.2938096071504,42.4933176415364,42.3842821453943,43.0361889890336
"459","739",44.4253030692032,44.1457822433298,43.4530399984372,44.0749027867919,42.3518704236474,44.0391192973122,45.3487878047654,43.3496623102271,43.883073616296,42.9609662528141,43.9150393264705,46.710058029865,46.4117424572174,44.7626723426413,43.4995072794208,43.9486188162522,44.1541562320047,44.2020177815704
