ZIP3	NO2_avg	NO2_avg_2007_to_2016	O3_avg	O3_avg_2007_to_2016	pm25_avg	pm25_avg_2007_to_2016
468	17.509513336797	15.13451339840265	38.5680717779032	38.55385446512648	12.4809807450545	11.136682768062308
581	13.4680431579069	12.031199201034825	34.8488482071588	34.57127397910721	7.64962838159319	7.058796518307118
461	17.1710517204999	15.385291659072958	38.925875154029	38.24658029396955	12.9150798835746	11.438189687632576
462	25.46663025167	22.74759425118786	37.6131096022711	36.93915613028779	13.5831828574409	12.233692451485172
463	21.7167872191258	18.89091690196964	35.7855233011324	36.02847761798563	12.2002356923966	10.888405338207653
464	29.7609932194802	26.53926811716553	33.8738005317941	34.43337646490624	12.879887448787	11.651239526214178
460	19.8498062028352	17.77421882830794	39.1244257775036	38.35243434639413	12.8349554301989	11.381160611149648
692	4.61655309291786	2.847831850275301	41.8290179486748	41.87342927220526	4.1822940171438	4.058630142592878
693	9.21085852481243	7.552711179254347	43.9029940245572	44.20859290567398	4.39330622397909	4.166411681047716
575	5.31309140435779	3.704905628254329	40.7571438465357	40.63162553966179	4.91170286246053	4.299572694374808
576	4.95681029899158	4.993494767995407	40.0608517166331	40.38481725544878	5.21535819974647	4.550273667757878
577	5.20425640535763	4.64194994477053	42.0261890065054	42.06621541862294	4.44584586541192	3.954808988439439
469	15.579472539421	13.882324823632985	39.1253110330817	39.00446767940789	12.6427107365214	11.147414308185462
690	12.6325966322769	11.323553680301226	43.0605469641439	43.64665970543995	6.48139004785478	6.187091035996401
691	11.8105623629076	9.75312125709554	43.5029951413994	43.98607038325309	5.18480313688737	5.042767947820587
571	14.4370293530171	12.764072180363817	37.90478091073	37.98389463328148	9.12844024903855	8.343541529240854
572	9.18515833365526	8.840971264630545	38.3266632796498	38.36025498100123	8.14503194107905	7.496742550764681
573	9.7693448437273709	8.599098022554456	39.4005225683276	39.38941185046994	7.46833917293438	6.82310883669766
454	23.6971613695781	20.02614589866313	39.6515710499536	40.23436993379416	13.3146921861777	11.619894375896964
574	7.86942245276288	7.760789206219497	39.0819797653866	39.263882379860334	7.27783584263478	6.514830186632174
455	20.6106534782564	17.36878221412583	40.6744647133265	40.58811720082383	12.8173191665417	11.281837767668819
456	10.6529801929518	9.411508437432976	39.7498808039133	39.64386843557	12.3952783335558	10.538634485277175
